XS136,4918341.184,1385518.82,14.227
XS146,4919258.201,1386009.338,12.1
XS156,4918977.152,1385817.448,17.387
XS16,4915368.669,1387304.238,12.735
XS17,4915506.577,1387044.824,9.441
XS19,4915908.827,1386934.811,11.878
XS20,4916166.465,1387111.571,12.227
XS22,4916746.276,1386890.999,13.207
XS23,4916602.888,1386371.347,11.016
XS24,4917113.878,1386765.056,13.942
XS25,4917169.252,1386351.066,11.21
XS27,4917828.772,1386118.893,15.051
XS28,4917630.099,1385685.156,15.785
XS29,4917826.907,1385543.767,15.393
XS30,4918179.556,1385435.599,15.51
XS135,4918495.716,1385627.872,14.273
XS136,4918341.184,1385518.82,14.227
WT173,4913566.705,1387282.544,10.789
WT175,4913573.361,1387646.182,12.317
WT140,4915632.885,1386686.981,10.95
BM13,4914711.857,1387747.445,14.115
BM14,4914931.762,1387622.93,11.031
BM15,4915135.903,1387533.859,14.374
BM16,4915368.688,1387304.227,12.775
BM17,4915506.598,1387044.834,9.511
BM18,4915673.94,1386891.708,13.386
BM19,4915908.808,1386934.822,11.918
BM20,4916166.475,1387111.561,12.257
BM21,4916522.703,1387104.995,12.298
BM22,4916746.297,1386891.028,13.197
BM23,4916602.878,1386371.347,10.986
BM24,4917113.897,1386765.036,13.982
BM25,4917169.252,1386351.066,11.22
BM26,4917501.013,1386284.899,11.274
BM27,4917828.872,1386118.89,14.961
BM28,4917630.099,1385685.156,15.755
BM29,4917826.907,1385543.787,15.333
BM30,4918179.566,1385435.608,15.49
BM135,4918495.795,1385627.83,14.213
BM136,4918341.233,1385518.768,14.177
BM144,4918634.95,1385709.415,15.119
BM146,4919258.201,1386009.338,12.1
BM147,4919465.559,1386669.953,13.301
BM156,4918977.227,1385817.306,17.327
ET27,4912984.159,1387794.581,10.597
ET28,4913359.858,1388104.573,11.19
ET29,4913681.636,1388281.062,11.352
ET30,4914019.579,1388450.326,11.915
ET31,4914110.646,1388476.103,13.788
ET32,4914325.31,1388361.654,11.727
ET73,4917043.393,1386844.897,13.244
ET74,4917429.316,1386838.371,13.778
ET75,4917733.907,1386844.505,14.435
ET76,4918063.819,1386935.522,16.581
ET77,4918335.422,1396347.485,33.348
ET124,4915820.585,1389978.482,11.429
ET125,4915551.356,1389213.541,13.375
ET126,4912785.751,1388052.897,10.813
ET127,4913247.765,1388038.883,11.383
ET128,4913723.682,1388331.377,9.827
ET129,4915239.448,1387742.15,11.463
ET130,4915381.471,1387570.573,11.296
ET149,4916034.145,1390399.771,12.199
ET150,4916408.96,1391257.483,13.705
ET151,4916523.848,1391835.257,15.299
ET152,4916593.511,1392144.552,19.539
ET158,4912020.97,1387623.316,11.191
ET159,4912254.065,1387996.194,11.801
ET160,4911846.057,1387464.017,11.253
