1,1382509.9620,4896743.7090,101.7060,LT25
2,1383274.4860,4894311.8620,2.8917,BGR5
3,1383274.4860,4894311.8620,3.6100,BOBL Henley
4,1383275.3038,4894312.5650,1.5842,BGR5-OBS
5,1382511.1412,4896744.6126,0.5504,LT25-OBS
6,1382510.0957,4896764.6433,0.4052,CHK-25
7,390277.1320,786312.0020,2.3622,AEYF HENLEY
8,1379523.1500,4902764.1280,100.9350,LT11
9,1381223.6920,4900154.5500,100.5200,LT14
10,1381645.0500,4899962.5740,102.0620,LT15
11,1387044.8240,4915506.5750,103.3330,XS17
12,1387304.2380,4915368.6660,106.6430,XS16
13,1387533.8600,4915135.9010,108.3200,XS15
14,1388731.7700,4915277.0080,8.5800,EVXM-OA
15,1387533.8191,4915135.8094,5.5803,XS15-OBS
16,1476365.9130,5007238.2390,2.3622,AEYF HENLEY
17,1379802.4700,4903747.2000,2.3622,AEYF HENLEY
18,1383526.3240,4906679.0230,173.5600,B17N
19,1379262.2530,4902820.8830,4.7150,AEYH-HENLEY RIVER
20,1384425.2220,4919130.6230,171.2910,A4H6-OTRAM HILL
21,1385423.2370,4918607.8390,10.2200,C24X-OUTRAM-FLAT
22,1383526.4336,4906679.0549,173.4414,B17N-OBS
23,1379802.4700,4903747.2000,2.3622,AEYF-OBS-HENLEY ROAD
24,1381223.7826,4900154.2899,0.3801,LT14-OBS
25,1379523.2697,4902764.1692,0.8632,LT11-OBS
26,1382509.3218,4896763.9166,1.1586,LT25-RADIO-CHK
27,1382685.2027,4896428.3831,1.0295,TIDE
28,1388731.8115,4915277.0023,8.8853,STK14 EVXM-OA CUT 0.31
30,1387533.7281,4915135.9787,8.7242,XS15-OBS-HILLBASE
31,1385423.2700,4918607.8390,10.2200,C24X
32,1385423.2963,4918607.7618,10.8545,C24X-OBS
33,1383527.3398,4906682.5201,173.1502,STEV
